TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;25;005;6131.00;1000;3
Census Block;25;005;6131.00;1001;3
Census Block;25;005;6131.00;1002;3
Census Block;25;005;6131.00;1003;3
Census Block;25;005;6131.00;1004;3
Census Block;25;005;6131.00;1005;3
Census Block;25;005;6131.00;1006;3
Census Block;25;005;6131.00;1007;3
Census Block;25;005;6131.00;1008;3
Census Block;25;005;6131.00;1009;3
Census Block;25;005;6131.00;1010;3
Census Block;25;005;6131.00;1011;3
Census Block;25;005;6131.00;1012;3
Census Block;25;005;6131.00;1013;3
Census Block;25;005;6131.00;1014;3
Census Block;25;005;6131.00;1015;3
Census Block;25;005;6131.00;1016;3
Census Block;25;005;6131.00;1017;3
Census Block;25;005;6131.00;1018;3
Census Block;25;005;6131.00;1019;3
Census Block;25;005;6131.00;1020;3
Census Block;25;005;6131.00;1021;3
Census Block;25;005;6131.00;1022;3
Census Block;25;005;6131.00;1023;3
Census Block;25;005;6131.00;1024;3
Census Block;25;005;6131.00;1025;3
Census Block;25;005;6131.00;1026;3
Census Block;25;005;6131.00;1027;3
Census Block;25;005;6131.00;1028;3
Census Block;25;005;6131.00;2000;3
Census Block;25;005;6131.00;2001;3
Census Block;25;005;6131.00;2002;3
Census Block;25;005;6131.00;2003;3
Census Block;25;005;6131.00;2004;3
Census Block;25;005;6131.00;2005;3
Census Block;25;005;6131.00;2006;3
Census Block;25;005;6131.00;2007;3
Census Block;25;005;6131.00;2008;3
Census Block;25;005;6131.00;2009;3
Census Block;25;005;6131.00;2010;3
Census Block;25;005;6131.00;2011;3
Census Block;25;005;6131.00;2012;3
Census Block;25;005;6131.00;2013;3
Census Block;25;005;6131.00;2014;3
Census Block;25;005;6131.00;2015;3
Census Block;25;005;6131.00;2016;3
Census Block;25;005;6131.00;2017;3
Census Block;25;005;6131.00;2018;3
Census Block;25;005;6131.00;2019;3
Census Block;25;005;6131.00;2020;3
Census Block;25;005;6131.00;2021;3
Census Block;25;005;6131.00;2022;3
Census Block;25;005;6131.00;2023;3
Census Block;25;005;6131.00;2024;3
Census Block;25;005;6131.00;2025;3
Census Block;25;005;6131.00;2026;3
Census Block;25;005;6131.00;2027;3
Census Block;25;005;6131.00;2028;3
Census Block;25;005;6131.00;2029;3
Census Block;25;005;6131.00;2030;3,5
Census Block;25;005;6131.00;2031;3
Census Block;25;005;6131.00;2032;3
Census Block;25;005;6131.00;2033;3,5
Census Block;25;005;6131.00;2034;5
Census Block;25;005;6131.00;2035;3,5
Census Block;25;005;6131.00;3000;3
Census Block;25;005;6131.00;3001;3
Census Block;25;005;6131.00;3002;3
Census Block;25;005;6131.00;3003;3
Census Block;25;005;6131.00;3004;3
Census Block;25;005;6131.00;3005;3
Census Block;25;005;6131.00;3006;3
Census Block;25;005;6131.00;3007;3
Census Block;25;005;6131.00;3008;3
Census Block;25;005;6131.00;3009;3
Census Block;25;005;6131.00;3010;3
Census Block;25;005;6131.00;3011;3
Census Block;25;005;6131.00;3012;3
Census Block;25;005;6131.00;3013;3
Census Block;25;005;6131.00;3014;3
Census Block;25;005;6131.00;3015;3
Census Block;25;005;6131.00;3016;3
Census Block;25;005;6131.00;3017;3
Census Block;25;005;6131.00;3018;3
Census Block;25;005;6131.00;3019;3
Census Block;25;005;6131.00;3020;3
Census Block;25;005;6131.00;3021;3
Census Block;25;005;6131.00;3022;3
Census Block;25;005;6131.00;3023;3
Census Block;25;005;6131.00;3024;3
Census Block;25;005;6131.00;3025;3
Census Block;25;005;6131.00;3026;2,3
Census Block;25;005;6131.00;3027;2,3
Census Block;25;005;6131.00;3028;2
Census Block;25;005;6131.00;3029;1,3
Census Block;25;005;6131.00;3030;1,3
Census Block;25;005;6131.00;3031;3
Census Block;25;005;6131.00;3032;3
Census Block;25;005;6131.00;3033;1,3
Census Block;25;005;6131.00;3034;1
Census Block;25;005;6131.00;3035;1
Census Block;25;005;6131.00;3036;1
Census Block;25;005;6131.00;3037;1
Census Block;25;005;6131.00;3038;1
Census Block;25;005;6131.00;3039;1
Census Block;25;005;6131.00;3040;3
Census Block;25;005;6131.00;3041;3
Census Block;25;005;6131.00;3042;3
Census Block;25;005;6131.00;3043;3
Census Block;25;005;6131.00;3044;3
Census Block;25;005;6131.00;3045;3
Census Block;25;005;6131.00;3046;3
Census Block;25;005;6131.00;3047;3
Census Block;25;005;6131.00;3048;3
Census Block;25;005;6131.00;3049;3
Census Block;25;005;6131.00;3050;3
Census Block;25;005;6131.00;3051;3
Census Block;25;005;6131.00;3052;3
