TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;25;001;133.00;1037;1
Census Block;25;001;133.00;1038;1
Census Block;25;001;133.00;1039;1
Census Block;25;001;133.00;1040;1
Census Block;25;001;133.00;1041;1
Census Block;25;001;133.00;1054;1
Census Block;25;001;133.00;1055;1
Census Block;25;001;133.00;1056;1
Census Block;25;001;133.00;1057;1
Census Block;25;001;133.00;1058;1
Census Block;25;001;133.00;1059;1
Census Block;25;001;133.00;1060;1
Census Block;25;001;133.00;1061;1
Census Block;25;001;133.00;1062;1
Census Block;25;001;133.00;1063;1
Census Block;25;001;133.00;1064;1
Census Block;25;001;133.00;1065;1
Census Block;25;001;133.00;1066;1
Census Block;25;001;133.00;1067;1
Census Block;25;001;133.00;1068;1
Census Block;25;001;133.00;1069;1
Census Block;25;001;133.00;1070;1
Census Block;25;001;133.00;1071;1
Census Block;25;001;133.00;1072;1
Census Block;25;001;133.00;1073;1
Census Block;25;001;133.00;1074;1
Census Block;25;001;133.00;1075;1
Census Block;25;001;133.00;1076;1
Census Block;25;001;133.00;1077;1
Census Block;25;001;133.00;1078;1
Census Block;25;001;133.00;1079;1
Census Block;25;001;133.00;1080;1
Census Block;25;001;133.00;1081;1
Census Block;25;001;133.00;1082;1
Census Block;25;001;133.00;1083;1
Census Block;25;001;133.00;1084;1
Census Block;25;001;133.00;1085;1
Census Block;25;001;133.00;1086;1
Census Block;25;001;133.00;1087;1
Census Block;25;001;133.00;1088;1
Census Block;25;001;133.00;1089;1
Census Block;25;001;133.00;1090;1
Census Block;25;001;133.00;1091;1
Census Block;25;001;133.00;1096;1
Census Block;25;001;133.00;1098;1
Census Block;25;001;133.00;1099;1
Census Block;25;001;133.00;2000;1
Census Block;25;001;133.00;2001;1
Census Block;25;001;133.00;2002;1
Census Block;25;001;133.00;2003;1
Census Block;25;001;133.00;2004;1
Census Block;25;001;133.00;2005;1
Census Block;25;001;133.00;2006;1
Census Block;25;001;133.00;2007;1
Census Block;25;001;133.00;2008;1
Census Block;25;001;133.00;2009;1
Census Block;25;001;133.00;2010;1
Census Block;25;001;133.00;2011;1
Census Block;25;001;133.00;2012;1
Census Block;25;001;133.00;2013;1
Census Block;25;001;133.00;2014;1
Census Block;25;001;133.00;2015;1
Census Block;25;001;133.00;2016;1
Census Block;25;001;133.00;2017;1
Census Block;25;001;133.00;2018;1
Census Block;25;001;133.00;2019;1
Census Block;25;001;133.00;2020;1
Census Block;25;001;133.00;2021;1
Census Block;25;001;133.00;2022;1
Census Block;25;001;133.00;2023;1
Census Block;25;001;133.00;2024;1
Census Block;25;001;133.00;2025;1
Census Block;25;001;133.00;2026;1
Census Block;25;001;133.00;2027;1
Census Block;25;001;133.00;2028;1
Census Block;25;001;133.00;2029;1
Census Block;25;001;133.00;2030;1
Census Block;25;001;133.00;2031;1
Census Block;25;001;133.00;2032;1
Census Block;25;001;133.00;2033;1
Census Block;25;001;133.00;2034;1
Census Block;25;001;133.00;2035;1
Census Block;25;001;133.00;2036;1
Census Block;25;001;133.00;2037;1
Census Block;25;001;133.00;2038;1
Census Block;25;001;133.00;2039;1
Census Block;25;001;133.00;2040;1
Census Block;25;001;133.00;2041;1
Census Block;25;001;133.00;3002;1
Census Block;25;001;133.00;3003;1
Census Block;25;001;133.00;3004;1
Census Block;25;001;133.00;3005;1
Census Block;25;001;133.00;3006;1
Census Block;25;001;133.00;3007;1
Census Block;25;001;133.00;3008;1
Census Block;25;001;133.00;3009;1
Census Block;25;001;133.00;3010;1
Census Block;25;001;133.00;3011;1
Census Block;25;001;133.00;3012;1
Census Block;25;001;133.00;3013;1
Census Block;25;001;133.00;3014;1
Census Block;25;001;133.00;3015;1
Census Block;25;001;133.00;3016;1
Census Block;25;001;133.00;3017;1
Census Block;25;001;133.00;3018;1
Census Block;25;001;133.00;3019;1
Census Block;25;001;133.00;3020;1
Census Block;25;001;133.00;3021;1
Census Block;25;001;133.00;3022;1
Census Block;25;001;133.00;3023;1
Census Block;25;001;133.00;3024;1
Census Block;25;001;133.00;3025;1
Census Block;25;001;133.00;3026;1
Census Block;25;001;133.00;3027;1
Census Block;25;001;133.00;3028;1
Census Block;25;001;133.00;3029;1
Census Block;25;001;133.00;3030;1
Census Block;25;001;133.00;3031;1
Census Block;25;001;133.00;3032;1
Census Block;25;001;133.00;3033;1
Census Block;25;001;133.00;3034;1
Census Block;25;001;133.00;3035;1
Census Block;25;001;133.00;3036;1
Census Block;25;001;133.00;3037;1
Census Block;25;001;133.00;3038;1
Census Block;25;001;133.00;3039;1
Census Block;25;001;133.00;3040;1
Census Block;25;001;133.00;3041;1
Census Block;25;001;133.00;3042;1
Census Block;25;001;133.00;3043;1
Census Block;25;001;133.00;3044;1
Census Block;25;001;133.00;3045;1
Census Block;25;001;133.00;3046;1
Census Block;25;001;133.00;3047;1
Census Block;25;001;133.00;3048;1
Census Block;25;001;133.00;3049;1
Census Block;25;001;133.00;3050;1
Census Block;25;001;133.00;3051;1
Census Block;25;001;133.00;3052;1
Census Block;25;001;133.00;3053;1
Census Block;25;001;133.00;3054;1
Census Block;25;001;133.00;3055;1
Census Block;25;001;133.00;3056;1
Census Block;25;001;133.00;3057;1
Census Block;25;001;133.00;3058;1
Census Block;25;001;133.00;3059;1
Census Block;25;001;133.00;3060;1
Census Block;25;001;133.00;3061;1
Census Block;25;001;133.00;3062;1
Census Block;25;001;133.00;3063;1
Census Block;25;001;133.00;3064;1
Census Block;25;001;133.00;3065;1
Census Block;25;001;133.00;3066;1
Census Block;25;001;133.00;3067;1
Census Block;25;001;133.00;3068;1
Census Block;25;001;133.00;3069;1
Census Block;25;001;133.00;3070;1
Census Block;25;001;133.00;3071;1
Census Block;25;001;133.00;3072;1
Census Block;25;001;133.00;3073;1
Census Block;25;001;133.00;3074;1
Census Block;25;001;133.00;3075;1
Census Block;25;001;133.00;3076;1
Census Block;25;001;133.00;3077;1
Census Block;25;001;133.00;3078;1
Census Block;25;001;133.00;3079;1
Census Block;25;001;133.00;3080;1
Census Block;25;001;133.00;3081;1
Census Block;25;001;133.00;3082;1
Census Block;25;001;133.00;3083;1
Census Block;25;001;133.00;3084;1
