TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;25;001;143.00;1000;1
Census Block;25;001;143.00;1001;1
Census Block;25;001;143.00;1002;1
Census Block;25;001;143.00;1003;1
Census Block;25;001;143.00;1004;1
Census Block;25;001;143.00;1005;1
Census Block;25;001;143.00;1006;1
Census Block;25;001;143.00;1007;1
Census Block;25;001;143.00;1008;1
Census Block;25;001;143.00;1009;1
Census Block;25;001;143.00;1010;1
Census Block;25;001;143.00;1011;1
Census Block;25;001;143.00;1012;1
Census Block;25;001;143.00;1013;1
Census Block;25;001;143.00;1014;1
Census Block;25;001;143.00;1015;1
Census Block;25;001;143.00;1016;1
Census Block;25;001;143.00;1017;1
Census Block;25;001;143.00;1018;1
Census Block;25;001;143.00;1019;1
Census Block;25;001;143.00;1020;1
Census Block;25;001;143.00;1021;1
Census Block;25;001;143.00;1022;1
Census Block;25;001;143.00;1023;1
Census Block;25;001;143.00;1024;1
Census Block;25;001;143.00;1025;1
Census Block;25;001;143.00;1026;1
Census Block;25;001;143.00;1027;1
Census Block;25;001;143.00;1028;1
Census Block;25;001;143.00;1029;1
Census Block;25;001;143.00;1030;1
Census Block;25;001;143.00;1031;1
Census Block;25;001;143.00;1032;1
Census Block;25;001;143.00;1033;1
Census Block;25;001;143.00;1034;1
Census Block;25;001;143.00;1035;1
Census Block;25;001;143.00;1036;1
Census Block;25;001;143.00;1037;1
Census Block;25;001;143.00;1038;1
Census Block;25;001;143.00;1039;1
Census Block;25;001;143.00;1040;1
Census Block;25;001;143.00;1041;1
Census Block;25;001;143.00;1042;1
Census Block;25;001;143.00;1043;1
Census Block;25;001;143.00;1044;1
Census Block;25;001;143.00;1045;1
Census Block;25;001;143.00;1046;1
Census Block;25;001;143.00;1047;1
Census Block;25;001;143.00;1048;1
Census Block;25;001;143.00;1049;1
Census Block;25;001;143.00;1050;1
Census Block;25;001;143.00;1051;1
Census Block;25;001;143.00;1052;1
Census Block;25;001;143.00;1053;1
Census Block;25;001;143.00;1054;1
Census Block;25;001;143.00;1055;1
Census Block;25;001;143.00;1056;1
Census Block;25;001;143.00;1057;1
Census Block;25;001;143.00;1058;1
Census Block;25;001;143.00;1059;1
Census Block;25;001;143.00;1060;1
Census Block;25;001;143.00;1061;1
Census Block;25;001;143.00;1062;1
Census Block;25;001;143.00;1063;1
Census Block;25;001;143.00;1064;1
Census Block;25;001;143.00;1065;1
Census Block;25;001;143.00;1066;1
Census Block;25;001;143.00;1067;1
Census Block;25;001;143.00;1068;1
Census Block;25;001;143.00;1069;1
Census Block;25;001;143.00;1070;1
Census Block;25;001;143.00;1071;1
Census Block;25;001;143.00;1072;1
Census Block;25;001;143.00;1073;1
Census Block;25;001;143.00;1074;1
Census Block;25;001;143.00;1075;1
Census Block;25;001;143.00;1076;1
Census Block;25;001;143.00;1077;1
Census Block;25;001;143.00;1078;1
Census Block;25;001;143.00;1079;1
Census Block;25;001;143.00;1080;1
Census Block;25;001;143.00;1081;1
Census Block;25;001;143.00;1082;1
Census Block;25;001;143.00;1083;1
Census Block;25;001;143.00;1084;1
Census Block;25;001;143.00;1085;1
Census Block;25;001;143.00;1086;1
Census Block;25;001;143.00;1087;1
Census Block;25;001;143.00;1088;1
Census Block;25;001;143.00;1089;1
Census Block;25;001;143.00;1090;1
Census Block;25;001;143.00;1091;1
Census Block;25;001;143.00;1092;1
Census Block;25;001;143.00;1093;1
Census Block;25;001;143.00;1094;1
Census Block;25;001;143.00;1095;1
Census Block;25;001;143.00;2000;1
Census Block;25;001;143.00;2001;1
Census Block;25;001;143.00;2002;1
Census Block;25;001;143.00;2003;1
Census Block;25;001;143.00;2004;1
Census Block;25;001;143.00;2005;1
Census Block;25;001;143.00;2006;1
Census Block;25;001;143.00;2007;1
Census Block;25;001;143.00;2008;1
Census Block;25;001;143.00;2009;1
Census Block;25;001;143.00;2010;1
Census Block;25;001;143.00;2011;1
Census Block;25;001;143.00;2012;1
Census Block;25;001;143.00;2013;1
Census Block;25;001;143.00;2014;1
Census Block;25;001;143.00;2015;1
Census Block;25;001;143.00;2016;1
Census Block;25;001;143.00;2017;1
Census Block;25;001;143.00;2018;1
Census Block;25;001;143.00;2019;1
Census Block;25;001;143.00;2020;1
Census Block;25;001;143.00;2021;1
Census Block;25;001;143.00;2022;1
Census Block;25;001;143.00;2023;1
Census Block;25;001;143.00;2024;1
Census Block;25;001;143.00;2025;1
Census Block;25;001;143.00;2026;1
Census Block;25;001;143.00;2027;1
Census Block;25;001;143.00;2028;1
Census Block;25;001;143.00;2029;1
Census Block;25;001;143.00;2030;1
Census Block;25;001;143.00;2031;1
Census Block;25;001;143.00;2032;1
Census Block;25;001;143.00;2033;1
Census Block;25;001;143.00;2034;1
Census Block;25;001;143.00;2035;1
Census Block;25;001;143.00;2036;1
Census Block;25;001;143.00;2037;1
