TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;25;025;1801.01;1000;1
Census Block;25;025;1801.01;1001;1
Census Block;25;025;1801.01;1002;1
Census Block;25;025;1801.01;1003;1
Census Block;25;025;1801.01;1004;1
Census Block;25;025;1801.01;1005;1
Census Block;25;025;1801.01;1006;1
Census Block;25;025;1801.01;1007;1
Census Block;25;025;1801.01;1008;1
Census Block;25;025;1801.01;1009;1
Census Block;25;025;1801.01;1010;1
Census Block;25;025;1801.01;1011;1
Census Block;25;025;1801.01;1012;1
Census Block;25;025;1801.01;1013;1
Census Block;25;025;1801.01;1014;1
Census Block;25;025;1801.01;1015;1
Census Block;25;025;1801.01;1016;1
Census Block;25;025;1801.01;1017;1
Census Block;25;025;1801.01;1018;1
Census Block;25;025;1801.01;1019;1
Census Block;25;025;1801.01;1020;1
Census Block;25;025;1801.01;1021;1
Census Block;25;025;1801.01;1022;1
Census Block;25;025;1801.01;1023;1
Census Block;25;025;1801.01;1024;1
Census Block;25;025;1801.01;1025;1
Census Block;25;025;1801.01;1026;1
Census Block;25;025;1801.01;2000;1
Census Block;25;025;1801.01;2001;1
Census Block;25;025;1801.01;2002;1
Census Block;25;025;1801.01;2003;1
Census Block;25;025;1801.01;2004;1
Census Block;25;025;1801.01;2005;1
Census Block;25;025;1801.01;2006;1
Census Block;25;025;1801.01;2007;1
Census Block;25;025;1801.01;2008;1
Census Block;25;025;1801.01;2009;1
Census Block;25;025;1801.01;2010;1
Census Block;25;025;1801.01;2011;1
Census Block;25;025;1801.01;2012;1
Census Block;25;025;1801.01;2013;1
Census Block;25;025;1801.01;3000;1
Census Block;25;025;1801.01;3001;1
Census Block;25;025;1801.01;3002;1
Census Block;25;025;1801.01;3003;1
Census Block;25;025;1801.01;3004;1
Census Block;25;025;1801.01;3005;1
Census Block;25;025;1801.01;3006;1
Census Block;25;025;1801.01;3007;1
Census Block;25;025;1801.01;3008;1
Census Block;25;025;1801.01;3009;1
Census Block;25;025;1801.01;3010;1
Census Block;25;025;1801.01;3011;1
Census Block;25;025;1801.01;3012;1
Census Block;25;025;1801.01;3013;1
Census Block;25;025;1801.01;3014;1
Census Block;25;025;1801.01;3015;1
Census Block;25;025;1801.01;3016;1
Census Block;25;025;1801.01;3017;1
Census Block;25;025;1801.01;3018;1
Census Block;25;025;1801.01;3019;1
Census Block;25;025;1801.01;3020;1
Census Block;25;025;1801.01;3021;1
Census Block;25;025;1801.01;3022;1
Census Block;25;025;1801.01;3023;1
Census Block;25;025;1801.01;3024;1
Census Block;25;025;1801.01;3025;1
Census Block;25;025;1801.01;3026;1
Census Block;25;025;1802.00;1000;1
Census Block;25;025;1802.00;1001;1
Census Block;25;025;1802.00;1002;1
Census Block;25;025;1802.00;1003;1
Census Block;25;025;1802.00;1004;1
Census Block;25;025;1802.00;1005;1
Census Block;25;025;1802.00;1006;1
Census Block;25;025;1802.00;1007;1
Census Block;25;025;1802.00;1008;1
Census Block;25;025;1802.00;1009;1
Census Block;25;025;1802.00;1010;1
Census Block;25;025;1802.00;1011;1
Census Block;25;025;1802.00;1012;1
Census Block;25;025;1802.00;1013;1
Census Block;25;025;1802.00;1014;1
Census Block;25;025;1802.00;1015;1
Census Block;25;025;1802.00;1016;1
Census Block;25;025;1802.00;1017;1
Census Block;25;025;1802.00;1018;1
Census Block;25;025;1802.00;1019;1
Census Block;25;025;1802.00;1020;1
Census Block;25;025;1802.00;1021;1
Census Block;25;025;1802.00;1022;1
Census Block;25;025;1802.00;2000;1
Census Block;25;025;1802.00;2001;1
Census Block;25;025;1802.00;2002;1
Census Block;25;025;1802.00;2003;1
Census Block;25;025;1802.00;2004;1
Census Block;25;025;1802.00;2005;1
Census Block;25;025;1802.00;2006;1
Census Block;25;025;1802.00;2007;1
Census Block;25;025;1802.00;2008;1
Census Block;25;025;1802.00;2009;1
Census Block;25;025;1802.00;2010;1
Census Block;25;025;1802.00;2011;1
Census Block;25;025;1802.00;2012;1
Census Block;25;025;1802.00;2013;1
Census Block;25;025;1802.00;2014;1
Census Block;25;025;1802.00;3000;1
Census Block;25;025;1802.00;3001;1
Census Block;25;025;1802.00;3002;1
Census Block;25;025;1802.00;3003;1
Census Block;25;025;1802.00;3004;1
Census Block;25;025;1802.00;3005;1
Census Block;25;025;1802.00;3006;1
